ID,Index,MV,RV
1 (33),Number of kernels per row,8,9.333333333
1 (34),Number of kernels per row,13,21.33333333
1 (35),Number of kernels per row,14,14.66666667
1 (36),Number of kernels per row,18,18
1 (37),Number of kernels per row,7,7
1 (38),Number of kernels per row,21,15.66666667
1 (39),Number of kernels per row,12,9
1 (4),Number of kernels per row,10,11
1 (40),Number of kernels per row,18,16.66666667
1 (41),Number of kernels per row,17,12.33333333
1 (42),Number of kernels per row,20,18.33333333
1 (43),Number of kernels per row,21,21.66666667
1 (44),Number of kernels per row,16,17.33333333
1 (45),Number of kernels per row,13,13.66666667
1 (46),Number of kernels per row,10,11
1 (47),Number of kernels per row,13,13.33333333
1 (48),Number of kernels per row,12,9.666666667
1 (49),Number of kernels per row,11,13.66666667
1 (5),Number of kernels per row,8,7.333333333
1 (50),Number of kernels per row,4,5.666666667
1 (51),Number of kernels per row,10,10.33333333
1 (52),Number of kernels per row,8,10.33333333
1 (53),Number of kernels per row,21,19.33333333
1 (54),Number of kernels per row,15,11.33333333
1 (55),Number of kernels per row,11,10.33333333
1 (56),Number of kernels per row,15,18.66666667
1 (57),Number of kernels per row,10,7.333333333
1 (6),Number of kernels per row,18,16.33333333
1 (7),Number of kernels per row,13,13.66666667
1 (8),Number of kernels per row,12,12.66666667
1 (9),Number of kernels per row,12,17.33333333
2 (156),Number of kernels per row,18,15.33333333
2 (171),Number of kernels per row,16,12
2 (187),Number of kernels per row,15,15.66666667
2 (203),Number of kernels per row,32,23.66666667
2 (21),Number of kernels per row,40,32.33333333
cao (111),Number of kernels per row,12,12
cao (14),Number of kernels per row,12,10.33333333
cao (23),Number of kernels per row,29,26
cao (24),Number of kernels per row,22,22.33333333
cao (25),Number of kernels per row,22,19.66666667
cao (26),Number of kernels per row,20,18.33333333
cao (301),Number of kernels per row,36,30.66666667
cao (302),Number of kernels per row,35,27.33333333
cao (303),Number of kernels per row,31,24.66666667
cao (304),Number of kernels per row,28,23.33333333
cao (305),Number of kernels per row,37,29.33333333
cao (306),Number of kernels per row,32,27.33333333
cao (307),Number of kernels per row,38,31.33333333
cao (308),Number of kernels per row,35,28.33333333
cao (373),Number of kernels per row,15,18.33333333
cao (374),Number of kernels per row,31,25.33333333
cao (376),Number of kernels per row,23,21.33333333
cao (408),Number of kernels per row,15,15
cao (409),Number of kernels per row,20,18.66666667
cao (410),Number of kernels per row,14,13
cao (411),Number of kernels per row,16,15
cao (412),Number of kernels per row,17,16.33333333
cao (413),Number of kernels per row,34,32
cao (414),Number of kernels per row,17,16.66666667
cao (415),Number of kernels per row,19,16.66666667
cao (416),Number of kernels per row,22,18
cao (417),Number of kernels per row,15,14.33333333
cao (418),Number of kernels per row,15,14.66666667
cao (419),Number of kernels per row,13,16
cao (420),Number of kernels per row,24,20.33333333
cao (421),Number of kernels per row,25,22
cao (423),Number of kernels per row,8,10
cao (7),Number of kernels per row,18,16.66666667
cao (8),Number of kernels per row,12,11.66666667
21,Number of rows per ear,14,16
173,Number of rows per ear,10,12
