"","ASV","YSI","rASV","rYSI","means"
"0164121062",0.696600825942372,1971,379,1592,199.709716765237
"0165621001",0.468692536802316,1399,200,1199,239.823185743476
"0165621011",0.249396816035823,1036,64,972,243.528925321798
"0165621020",1.25658458734482,2103,892,1211,239.623318399398
"0165621062",0.832161680036787,1838,497,1341,236.555853659887
"0165621068",1.76940967324271,2437,1227,1210,239.6355720069
"0166221006",0.540326746218608,321,265,56,258.355236168357
"0166221008",1.60290230224074,1681,1138,543,249.433037755662
"0166221029",1.14010729176368,1453,787,666,247.812056715097
"0166221038",0.552156276574017,1216,276,940,243.918434100057
"0166221043",0.721712942815102,897,405,492,250.056981538728
"0169241011",0.278955495126157,272,83,189,254.450421353545
"0169241055",2.97707431625052,2666,1530,1136,240.905300690558
"0169241056",1.85899036531125,2642,1252,1390,234.66218269855
"0169241057",1.42465444799683,2369,1023,1346,236.479377371888
"0171441005",0.872562391334584,1090,539,551,249.291366536878
"0171441008",1.50599194401942,1474,1076,398,251.079736799516
"0171441009",1.96175800867081,1395,1283,112,256.097845706869
"0171441029",1.37447148386567,1237,988,249,253.432417989418
"0171441033",0.40802921345554,1237,166,1071,242.06115909842
"0173841005",0.913491544440207,1065,577,488,250.110690092519
"0173841014",0.536771435824326,731,261,470,250.267752702751
"0173841022",0.551560740616008,962,272,690,247.502636300632
"0173841026",0.63821701200351,1497,339,1158,240.586923518049
"0176641096",1.34573155699545,2392,967,1425,233.057194501691
"0176641097",2.71039306665128,3042,1485,1557,214.504954484042
"0176641109",1.94275982803559,2781,1276,1505,224.375075674537
"0176641149",4.00464388375349,3152,1593,1559,214.308311565182
"0176641157",0.87993402231926,2100,547,1553,216.191755348249
"0178821001",0.920278328722297,1904,580,1324,237.007711799207
"0178821002",0.770716581110172,1525,438,1087,241.849169148959
"0178821003",0.763245579248352,1731,433,1298,237.765272323563
"0178821005",1.25593076427109,2344,891,1453,230.761908676134
"0178821009",0.588959292129261,1668,298,1370,235.648537535199
"0179021026",1.66463047973266,2256,1174,1082,241.943077838975
"0179021028",0.473160103815165,1094,203,891,244.662772544021
"0179021042",0.599330449358387,1081,306,775,246.336057596926
"0179021064",0.981973498778757,1918,638,1280,238.151829402285
"0179021073",1.04423066284942,1103,692,411,250.979764988304
"0179821006",1.39642057921967,1916,1005,911,244.373732841436
"0179821009",0.901750274768221,1027,565,462,250.382537009492
"0179821010",2.15815239900885,2142,1349,793,246.050604240101
"0179821011",1.38786315682739,1863,999,864,245.078195864525
"0179821013",1.5688180904638,1409,1116,293,252.775962298711
"0181521011",0.206074327138019,734,49,685,247.587426404049
"0181521032",2.13450477224716,2670,1343,1327,236.976970515803
"0181521046",1.62703703431178,2412,1157,1255,238.686405620818
"0181521065",1.62593893318818,2198,1154,1044,242.455497211327
"0181821001",1.38532980781634,2338,998,1340,236.598363372942
"0181821008",0.377797047136825,965,136,829,245.644936565184
"0181821014",0.431984475291104,1391,174,1217,239.545450093321
"0181821015",0.650020129286076,1268,346,922,244.176745965294
"0181821018",0.846064100396541,1536,510,1026,242.705175983175
"0182121004",1.36500808227181,1555,982,573,249.062211617291
"0182121009",0.387223342929322,1053,145,908,244.416392473472
"0182121018",1.33979244195667,2105,962,1143,240.772619325328
"0182121033",1.24632923131845,2165,883,1282,238.130845956719
"0182121036",0.508796502426511,1025,231,794,246.040088100376
"0182321003",0.894994839889947,1482,561,921,244.186978011392
"0182321012",0.504007213528925,1054,226,828,245.650372632204
"0182321027",0.871067779966995,1194,538,656,247.972949928365
"0182321029",1.00891174660755,1586,662,924,244.16837152991
"0182321040",1.4034970470536,2184,1014,1170,240.482964122504
"0182921003",1.35704158814916,1554,978,576,249.032295277101
